"ALERIA","Τηλ.: 2105222633 - Μεγ. Αλεξάνδρου 57, Μεταξουργείο","23.71775","37.98310","","","",""
"APOLIS","Τηλ.: 2105060620, 2105060000 - Άλσος Αγίου Δημητρίου, Πετρούπολη","23.68681","38.04612","","","",""
"DAPHNE’S","Τηλ.: 2103227971 - Λυσικράτους 4, Πλάκα","23.73035","37.97081","","","",""
"ELECTRA Restaurant","Τηλ.: 2103370000 - Νικοδήμου 18-20, Πλάκα","23.73189","37.97378","","","",""
"GIORGIO","Τηλ.: 2107669057 - Λ. Καρέα 100, Βύρωνας","23.77364","37.94668","","","",""
"MALVAZIA","Τηλ.: 2103417010 - Αγαθημέρου 3, Ρουφ","23.70876","37.97474","","","",""
"MARE MARINA","Τηλ.: 2109822220 - Μαρίνα Φλοίσβου, Π. Φάληρο","23.70631","37.91448","","","",""
"MEZES","Τηλ.: 2106233792, 2108017673 - Ελευθερώτριας 25, Πολιτεία","24.00688","37.87071","","","",""
"OIL RESTO","Τηλ.: 2102693230 - Ιδομενέως 93, Ίλιον","23.70307","38.03060","","","",""
"PARLIAMENT (THE)","Τηλ.: 2103352400 - (ξεν. NJV Athens Plaza) Βασ. Γεωργίου Α΄Σύνταγμα","23.73499","37.97602","","","",""
"VARDIS","Τηλ.: 2106230650-6 - Δηληγιάννη 66 (ξεν. Πεντελικόν), Κεφαλάρι","23.82306","38.07508","","","",""
"ΑΓΡΟΤΕΡΑ","Τηλ.: 2109220208, 6936 551795 - Βασ. Όλγας 6, Ζάππειο","23.73521","37.96953","","","",""
"ΑΘΗΡΙ","Τηλ.: 2103462983 - Πλαταιών 15, Κεραμεικός","23.71687","37.98058","","","",""
"Αιγιάλη Αμοργού Nikos Place","","25.99753","36.90741","","Αιγιάλη Αμοργού","",""
"ΑΛΑΤΣΙ","Τηλ.: 2107210501-2, 6977210501 - Βρασίδα 13, όπισθεν Hilton","23.75100","37.97490","","","",""
"ΑΛΛΟΤΙΝΟ","Τηλ.: 2109418821, 2109431872 - Ζησιμοπούλου 47 , Παλαιό Φάληρο","23.69905","37.93720","","","",""
"ΑΛΣΟΥΠΟΛΗ - Η ΓΩΝΙΑ ΤΩΝ ΓΕΥΣΕΩΝ","Τηλ.: 2102777065 - Μεσσηνίας 28 κ. Δωδεκανήσου, Αλσούπολη","23.77906","38.03644","","","",""
"ΑΝΕΤΟΝ","Τηλ.: 2108066700 - Στρ. Λέκκα 19, Μαρούσι","23.79868","38.05595","","","",""
"ΑΝΝΑΣ","Τηλ.: 2105238053, 2105234382 - Ακαδήμου 14","23.72059","37.98200","","","",""
"ΑΝΤΑΙΟΣ","Τηλ.: 2106755493 - Δροσίνη 7, Πλ. Ελευθερίας, Ν. Ψυχικό","23.78254","38.00724","","","",""
"ΑΡΧΑΙΩΝ ΓΕΥΣΕΙΣ","Τηλ.: 2105239661 - Κοδράτου 22, Πλ. Καραϊσκάκη","23.71908","37.98653","","","",""
"Αττική-Αγία Παρασκευή Γαίδαρος","Τηλ.2106004724","23.81818","38.01506","","Αγία Παρασκευή Αττικής","Ελληνοσερβικής Φιλίας","52"
"Αττική-Αθήνα Maritsa's","Τηλ.2103251421","23.72794","37.98096","","Αθήνα ","Σοφοκλέους","17"
"Αττική-Αθήνα Βαρουλκο","Τηλ.2105228400","23.71846","37.97986","","Αθήνα","Πειραιώς","80"
"Αττική-Αθήνα Ιντεαλ","Τηλ.2103303000","23.73141","37.98210","","Αθήνα","Πανεπιστημίου","46"
"Αττική-Αθήνα Κεντρικόν","Τηλ.2103232482","23.73340","37.97715","","Αθήνα","Κολοκοτρώνη","3"
"Αττική-Αθήνα Μαμακας","Τηλ.2103464984","23.71160","37.97827","","Αθήνα","Περσεφόνης","41"
"Αττική-Βάρη Μπάμπης","","23.79303","37.83489","","Βάρη Αττικής","Παίζη και Λεωφόρος Βάρης",""
"Αττική-Βούλα Κελάρια","","23.77909","37.85442","","Βούλα Αττικής","Μπιζανίου","3"
"Αττική-Βούλα Κληματαριά","","23.76664","37.84124","","Βούλα Αττικής","Νικολάου Πλαστήρα","3"
"Αττική-Γλυφάδα  Kosebasi Κεμπαπ","","23.75222","37.86064","","Γλυφάδα Αττικής","Α. Λαζαράκη","45"
"Αττική-Γλυφάδα Μοναστήρι Summer","","23.74718","37.86165","16675","Γλυφάδα Αττικής","Διαδόχου Παύλου","46"
"Αττική-Γλυφάδα Σέρκος και τα 4 αστέρια κεμπάπ","","23.75310","37.87182","","Γλυφάδα Αττικής","Ξενοφώντος","28"
"Αττική-Θησείο Kuzina","","23.72210","37.97643","","Αθήνα","Αδριανού","9"
"Αττική-Καλαμάκι Ξυλινο","Τηλ.2109822500","23.70882","37.91509","","Καλαμάκι Αττικής","Θουκυδίδου","2"
"Αττική-Κηφισιά Κιουπια","Τηλ.2106200005","23.83267","38.08568","","Κηφισιά Αττικής","Ολυμπιονικών","2"
"Αττική-Κολωνάκι Jimmis Cooking","Τηλ.2103627541","23.73696","37.97742","","Κολωνάκι Αττικής","Κριεζώτου και Αριστοτέλη Βαλαωρίτου",""
"Αττικη-Κολωνάκι Maritsa's 47","","23.74031","37.97969","","Κολωνάκι Αττικής","Βουκουρέστιου","47"
"Αττικη-Κουκάκι Μανη Μανη","Τηλ.2109218180","23.72848","37.96664","","Κουκάκι Αττικης","Φαλήρου","10"
"Αττική-Μαρούσι Κρησσα Γη","","23.80005","38.04927","","Μαρούσι Αττικής","Αγίου Κωνσταντίνου","23"
"Αττικη-Μικρολίμανο Βοσπορος","Τηλ.2104131377","23.66022","37.93884","","Μικρολίμανο Αττικης","Ακτή Κουμουνδούρου","20"
"Αττική-Παλαιό Φάληρο Aladin Κεμπαπ","","23.69941","37.93236","","Παλαιό Φάληρο Αττικής","Αγίας Τριάδος","1"
"Αττική-Παλαιό Φάληρο Barba Lazaros","Τηλ.2109403003","23.69893","37.93907","","Παλαιό Φάληρο Αττικής","Συνταγματάρχου Ζησιμοπούλου","24"
"Αττικη-Παλαιό Φάληρο Αλλοτινο","Τηλ.2109418821","23.69871","37.94072","","Παλαιό Φάληρο Αττικης","Συνταγματάρχου Ζησιμοπούλου","14"
"Αττική-Παλαιό Φάληρο Κουκι και το Ρεβυθι","Τηλ.2109421193","23.69921","37.94171","","Παλαιό Φάληρο Αττικής","Πεντέλης","40"
"Αττική-Πεδίον Άρεως","Τηλ.2106420874","23.74412","37.98920","","Αθήνα","Ζωναρά","21"
"Αττική-Σαλαμίνα Γαλαζιο","Τηλ.2104671467","23.48901","37.94082","","Σαλαμίνα Αττικής","Σπετσών","2"
"Αττική-Ψυρρή Hytra","Τηλ.2103316767","23.72312","37.97800","","Αθήνα","Ναυάρχου Αποστόλη","7"
"Αττική-Ψυρρή Κρασοπουλιο του Κόκκορα","Τηλ.2103211051","23.72425","37.97760","","Αθήνα","Καραισκάκη και Αισώπου",""
"ΑΤΤΙΚΟΣ-ΜΙΝΑ","Τηλ.: 2109215256, 2109216266 - Γαριβάλδη 7, Ακρόπολη","23.72364","37.96905","","","",""
"Αχαϊα-Ρίο Ελαία","","21.77915","38.29448","","Ρίο Αχαϊας","Βουρλούμη",""
"ΒΑΣΙΛΑΙΝΑΣ","Τηλ.: 2104612457 - Αιτωλικού 72, Πειραιάς","23.64005","37.95486","","","",""
"ΒΛΑΣΣΗΣ","Τηλ.: 2107256335 - Μαιάνδρου 15, Ιλίσια","23.75477","37.97749","","","",""
