"«ΔΗΜΗΤΡΗΣ ΠΟΤΑΜΙΤΗΣ»","Τηλ.: 2107481695 - Ιλισίων 21 και Κερασούντος","23.75890","37.97930","","","",""
"104 ΘΕΑΤΡΟ"," ","23.73710","37.98759","","Αθηνα","Θεμιστοκλεους","104"
"41 STREET","Τηλ.: 2107620254 - Ανδρέα Λεντάκη 41 και Θράκης","23.74560","37.95390","","","",""
"ALTERA PARS-ΚΕΝΤΡΙΚΗ ΣΚΗΝΗ","Τηλ.: 2103410011 - Μ. Αλεξάνδρου 123","23.71350","37.98110","","","",""
"ARCHIΤECTURE ROCK CLUB"," ","23.76226","37.97787","","Ζωγραφος","Παλμε Ουλωφ","23"
"ART HOUSE"," ","23.70828","37.97773","","Αθηνα","Κωνσταντινουπολεως Λεωφορος","46"
"ART HOUSE Θέατρα CLUB","Τηλ.: 2130330480 - Κωνσταντινουπόλεως 46","23.70960","37.97840","","","",""
"ARTIKΑ"," ","23.68403","37.95723","","Μοσχατο","Αγ. Σαραντα","29"
"BETON 7","Τηλ.: 2107512625 - Πύδνας 7","23.70660","37.98020","","","",""
"BIOS-BASEMENT"," ","23.71814","37.97972","","Αθηνα","Πειραιως","84"
"BIOS-ΜΑΙΝ"," ","23.71814","37.97972","","Αθηνα","Πειραιως","84"
"BOOZE COOPERATIVA"," ","23.72915","37.97775","","Αθηνα","Κολοκοτρωνη","57"
"CAMINITO"," ","23.72026","37.98429","","Αθηνα","Μεγ. Αλεξανδρου","28"
"COMEDY CLUB-TRICKY TRICK ART","Τηλ.: 2103311009,6973371601 - Αιόλου 48-50","23.72790","37.97800","","","",""
"CORONET"," ","23.74782","37.96689","","Αθηνα","Φρυνης","11"
"DIRTY MEZZO CLUB-Restaurant","Τηλ.: 2109211044,2109211834 - Συγγρού 58","23.72780","37.96550","","","",""
"GLAM Bar","Τηλ.: 2103422554 - Δεκελεών 40","23.70980","37.97670","","","",""
"NIXON Bar/SCREENING ROOM","Τηλ.: 2103462077 - Αγησιλάου 61Β","23.71760","37.98020","","","",""
"SOUL","Τηλ.: 2103310907 - Ευρπίδου 65","23.72470","37.98030","","","",""
"STUDIO ΜΑΥΡΟΜΙΧΑΛΗ"," ","23.74254","37.98701","","Αθηνα","Μαυρομιχαλη","134"
"SWING Bar","Τηλ.: 2103451518 - Ιάκχου 8 και Ευμοπλπιδών","23.71320","37.97950","","","",""
"USED the recycle Bar","Τηλ.: 2106839426 - Γρ. Γυφτόπουλου 6 (πρώην Μεσολογγίου)","23.79820","38.02240","","","",""
"ΑΓΓΕΛΩΝ ΒΗΜΑ"," ","23.72599","37.98538","","Αθηνα","Σατωβριανδου","36"
"ΑΓΚΥΡΑ"," ","23.73318","37.98488","","Αθηνα","Σολωνος","124"
"ΑΘΗΝΑ"," ","23.73236","37.99462","","Αθηνα","Δεριγνυ","10"
"ΑΘΗΝΑΪΣ-ΖΩΗ ΛΑΣΚΑΡΗ"," ","23.71104","37.98360","","Αθηνα","Καστοριας","34"
"ΑΘΗΝΩΝ","Τηλ.: 2103312343 - Βουκουρεστίου 10","23.73610","37.97750","","","",""
"ΑΘΗΝΩΝ"," ","23.73549","37.97716","","Αθηνα","Βουκουρεστιου","10"
"ΑΚΑΔΗΜΟΣ"," ","23.73404","37.98201","","Αθηνα","Ιπποκρατους","17"
"ΑΚΗΣ ΔΑΔΗΣ (πρώην ΑΛΚΜΗΝΗ)"," ","23.71066","37.97460","","Αθηνα","Αλκμηνης","8"
"ΑΚΤΙΣ ΑΕΛΙΟΥ"," ","22.94946","40.63538","","Θεσσαλονικη","Χριστοπουλου","12"
"ΑΛΕΚΟΣ ΛΕΞΑΝΔΡΑΚΗΣ (πρώην ΝΕΟ ΡΙΑΛΤΟ)"," ","23.73877","37.99937","","Αθηνα","Κυψελης","54"
"ΑΛΕΚΤΟΝ"," ","23.71627","37.98190","","Αθηνα","Σφακτηριας","23"
"ΑΛΙΚΗ"," ","23.73460","37.97793","","Αθηνα","Αμερικης","4"
"ΑΛΚΥΟΝΙΣ"," ","23.72827","37.99175","","Αθηνα","Ιουλιανου","44"
"ΑΛΜΑ"," ","23.72308","37.98543","","Αθηνα","Ακομινατου","17"
"ΑΛΦΑ","Τηλ.: 2105238742 - Πατησίων 37","23.73020","37.98730","","","",""
"ΑΜΑΛΙΑ"," ","22.95749","40.61608","","Θεσσαλονικη","Αμαλιας","71"
"ΑΜΙΡΑΛ"," ","23.73541","37.97836","","Αθηνα","Αμερικης","10"
"ΑΜΦΙΘΕΑΤΡΟ ΣΠΥΡΟΥ ΕΥΑΓΓΕΛΑΤΟΥ"," ","23.73037","37.97230","","Αθηνα","Αδριανου","111"
"ΑΝΕΣΙΣ"," ","23.76222","37.98732","","Αθηνα","Κηφισιας Λεωφορος","14"
