"Αττική-’γιος Δημήτριος","Εμπορικό Κέντρο Athens Metro Mall-2109758300","23.740786","37.939042","17343","’γιος Δημήτριος","Λεωφόρος Βουλιαγμένης","276"
"Αττική-’γιος Ιωάννης Ρέντης ","Village Shopping and More-2104278600","23.66654","37.97478","","Αγ. Ιωάννης Ρεντης","Παρνασσού+Θηβών",""
"Αττική-Μαρούσι","Εμπορικό Κέντρο The Mall Athens-2106104100","23.79262","38.04490","15123","Μαρούσι","Παπανδρέου Ανδ.","35"
"Αττική-Παγκράτι","2107572440","23.74857","37.96673","","Παγκράτι","Υμηττού","110"
"Αττική-Παλαιό Φάληρο","2109485200","23.69219","37.93296","17561","Παλαιό Φάληρο","Λεωφόρος Ποσειδώνος (Παλαια)+Μωραιτίνη",""
"Θεσσαλονίκης-Πυλαία","Mediterranean Cosmos-2310499999","22.98398","40.55003","57001","Πυλαία","11ο χλμ Εθνικής Οδού Θεσσαλονίκης - Μουδανιών",""
"Μαγνησίας-Βόλος","2421094600","22.93433","39.36568","18335","Βόλος","Γιαννιτσών","29"
