"Ιωαννίνων-Ιωάννινα - Public","Τηλ: 2651070087 - Site: www.public.gr","20.85140","39.66388","45221","Ιωάννινα","Πυρσινέλλα","4"
"Καβάλας-Καβάλα - Public","Τηλ: 2510620477 - Site: www.public.gr","24.41257","40.93752","65302","Καβάλα","Ομόνοιας","50"
"Καστοριάς-Καστοριά - Public","Τηλ: 2467087284 - Site: www.public.gr","21.25723","40.51966","52100","Καστοριά","Ρίζου + Λεωφόρος των Κύκνων",""
"Κέρκυρας-Κέρκυρα - Public","Τηλ: 2661080362 - Site: www.public.gr","19.92115","39.62355","49131","Κέρκυρα","Ευγένιου Βουλγάρεως","82"
"Κοζάνης-Κοζάνη - Public","Τηλ: 2461050091 - Site: www.public.gr","21.78692","40.30138","50100","Κοζάνη","Ειρήνης 5 + Δρίζη",""
"Κορινθίας-Κόρινθος - Public","Τηλ: 2741074340 - Site: www.public.gr","22.93435","37.94021","20100","Κόρινθος","Δαμασκηνού","45"
"Λάρισας-Λάρισα - Public","Τηλ: 2410259699 - Site: www.public.gr","22.41583","39.63777","41222","Λάρισα","Κούμα","6"
"Λέσβου-Λέσβος-Μυτιλήνη - Public","Τηλ: 2251025101 - Site: www.public.gr","26.55790","39.10684","81100","Μυτιλήνη","Αρχιπελάγους + Σάμου",""
"Μαγνησίας-Βόλος - Public","Τηλ: 2421022904 - Site: www.public.gr","22.95084","39.35988","38221","Βόλος","Ογλ","28"
"Μεσσηνίας-Καλαμάτα - Public","Τηλ: 2721080921 - Site: www.public.gr","22.11198","37.04199","24133","Καλαμάτα","Αριστομένους","16"
"Ξάνθης-Ξάνθη - Public","Τηλ: 2541084602 - Site: www.public.gr - Εμπ. Κέντρο Cosmos Center","24.88850","41.13760","67131","Ξάνθη","Δαγκλή + Ελπίδος",""
"Πιερίας-Κατερίνη - Public","Τηλ: 2351046908 - Site: www.public.gr","22.50570","40.27089","60100","Κατερίνη","Ερμού","5"
"Ρεθύμνης-Ρέθυμνο - Public","Τηλ: 2831052020 - Site: www.public.gr","24.47995","35.36643","74131","Ρέθυμνο","Πλ. Αγν. Στρατιώτη",""
"Ροδόπης-Κομοτηνή - Public","Τηλ: 2531083600 - Site: www.public.gr","25.40513","41.11692","69100","Κομοτηνή","Αγ. Γεωργίου","3"
"Σερρών-Σέρρες - Public","Τηλ: 2321058533 - Site: www.public.gr","23.55035","41.08965","62122","Σέρρες","Τσαλοπούλου","9"
"Τρικάλων-Τρίκαλα - Public","Τηλ: 2431027747 - Site: www.public.gr","21.76653","39.55512","42100","Τρίκαλα","Κανούτα 1 + Βύρωνος",""
"Φθιώτιδος-Λαμία - Public","Τηλ: 2231030022 - Site: www.public.gr","22.43383","38.89942","35132","Λαμία","Πλ. Πάρκου","11-13"
"Χανίων-Χανιά - Public","Τηλ: 2821076720 - Site: www.public.gr","24.01866","35.51395","73132","Χανιά","Χατζημιχάλη Γιάνναρη","40-42"
